Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank,In_Phase3_1_BlockedWilcoxon_rCLR,In_Phase3_2_CMH_PA,In_Phase3_3_MetaAnalysis_rCLR,In_Any_Formal_Phase3,In_2plus_Formal_Phase3,N_Formal_Phase3_Supports,Species_clean_phase35,categories,is_early,is_late,is_progression,is_ordered_increasing,is_ordered_decreasing,best_trend_direction,best_trend_q
OnlyMale,LASSO_LogisticRegression,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,0.6,0.6,0.019935910668107373,12,2,False,True,0.0,0.019935910668107373,0.0,0.6,rCLR,11,True,False,True,True,True,2,Fusicatenibacter saccharivorans,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Anaerotignum lactatifermentans,anaerotignum lactatifermentans,0.6,0.6,0.016378764365177698,13,2,True,False,0.016378764365177698,0.0,0.6,0.0,PA,12,False,True,False,True,False,1,Anaerotignum lactatifermentans,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,0.4,0.4,0.015867442672358182,14,2,False,True,0.015867442672358182,0.0,0.4,0.0,PA,13,False,True,False,True,False,1,Bifidobacterium pseudocatenulatum,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Lachnospira pectinoschiza,lachnospira pectinoschiza,0.4,0.4,0.015397259463814603,15,2,False,True,0.0,0.015397259463814603,0.0,0.4,rCLR,14,True,False,True,True,True,2,Lachnospira pectinoschiza,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Methanobrevibacter smithii,methanobrevibacter smithii,0.3,0.3,0.02634532481216296,16,2,True,False,0.02634532481216296,0.0,0.3,0.0,PA,15,False,True,False,True,False,1,Methanobrevibacter smithii,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Bacteroides salyersiae,bacteroides salyersiae,0.3,0.3,0.00957580355789004,17,2,True,False,0.00957580355789004,0.0,0.3,0.0,PA,16,False,True,False,True,False,1,Bacteroides salyersiae,ORDERED_INCREASING,False,False,False,True,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Bacteroides caccae,bacteroides caccae,0.3,0.3,0.007234591489098853,18,2,True,False,0.0,0.007234591489098853,0.0,0.3,rCLR,17,False,False,False,False,False,0,Bacteroides caccae,LATE,False,True,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Roseburia faecis,roseburia faecis,0.2,0.2,0.006470393356419978,19,2,False,True,0.0,0.006470393356419978,0.0,0.2,rCLR,18,True,False,True,True,True,2,Roseburia faecis,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Akkermansia muciniphila,akkermansia muciniphila,0.1,0.1,0.046000677908793454,20,2,True,False,0.046000677908793454,0.0,0.1,0.0,PA,19,False,True,False,True,False,1,Akkermansia muciniphila,NOT_SIGNIFICANT_BY_FDR,False,False,False,False,False,increasing_Control_to_Adenoma_to_CRC,0.0
OnlyMale,LASSO_LogisticRegression,Anaerostipes hadrus,anaerostipes hadrus,0.1,0.1,0.011805251092239392,21,2,False,True,0.0,0.011805251092239392,0.0,0.1,rCLR,20,False,False,False,False,False,0,Anaerostipes hadrus,LATE;ORDERED_DECREASING,False,True,False,False,True,increasing_Control_to_Adenoma_to_CRC,0.0
