Arrangement,Model,Species_clean,Species_key,Species_MaxSelectionFrequency,Species_MaxTopKSelectionFrequency,Species_SumMeanAbsNonZeroCoef,Species_BestConsensusRank,N_Selected_FeatureTypes,Any_CRC_Associated,Any_Control_Associated,PA_MeanAbsNonZeroCoef,rCLR_MeanAbsNonZeroCoef,PA_SelectionFrequency,rCLR_SelectionFrequency,Dominant_Signal,SpeciesRank
OnlyFemale,LASSO_LogisticRegression,Bacteroides ovatus,bacteroides ovatus,0.0,0.0,0.0,30,2,False,False,0.0,0.0,0.0,0.0,PA,26
OnlyFemale,LASSO_LogisticRegression,Bacteroides salyersiae,bacteroides salyersiae,0.0,0.0,0.0,31,2,False,False,0.0,0.0,0.0,0.0,PA,27
OnlyFemale,LASSO_LogisticRegression,Bacteroides sp. CAG:144,bacteroides sp. cag:144,0.0,0.0,0.0,32,2,False,False,0.0,0.0,0.0,0.0,PA,28
OnlyFemale,LASSO_LogisticRegression,Bacteroides stercoris,bacteroides stercoris,0.0,0.0,0.0,33,2,False,False,0.0,0.0,0.0,0.0,PA,29
OnlyFemale,LASSO_LogisticRegression,Bacteroides uniformis,bacteroides uniformis,0.0,0.0,0.0,35,2,False,False,0.0,0.0,0.0,0.0,PA,30
OnlyFemale,LASSO_LogisticRegression,Bacteroides xylanisolvens,bacteroides xylanisolvens,0.0,0.0,0.0,36,2,False,False,0.0,0.0,0.0,0.0,PA,31
OnlyFemale,LASSO_LogisticRegression,Barnesiella intestinihominis,barnesiella intestinihominis,0.0,0.0,0.0,37,2,False,False,0.0,0.0,0.0,0.0,PA,32
OnlyFemale,LASSO_LogisticRegression,Bifidobacterium adolescentis,bifidobacterium adolescentis,0.0,0.0,0.0,38,2,False,False,0.0,0.0,0.0,0.0,PA,33
OnlyFemale,LASSO_LogisticRegression,Bifidobacterium bifidum,bifidobacterium bifidum,0.0,0.0,0.0,39,2,False,False,0.0,0.0,0.0,0.0,PA,34
OnlyFemale,LASSO_LogisticRegression,Bifidobacterium longum,bifidobacterium longum,0.0,0.0,0.0,40,2,False,False,0.0,0.0,0.0,0.0,PA,35
OnlyFemale,LASSO_LogisticRegression,Bifidobacterium pseudocatenulatum,bifidobacterium pseudocatenulatum,0.0,0.0,0.0,41,2,False,False,0.0,0.0,0.0,0.0,PA,36
OnlyFemale,LASSO_LogisticRegression,Blautia obeum,blautia obeum,0.0,0.0,0.0,42,2,False,False,0.0,0.0,0.0,0.0,PA,37
OnlyFemale,LASSO_LogisticRegression,Blautia sp. CAG:257,blautia sp. cag:257,0.0,0.0,0.0,43,2,False,False,0.0,0.0,0.0,0.0,PA,38
OnlyFemale,LASSO_LogisticRegression,Blautia wexlerae,blautia wexlerae,0.0,0.0,0.0,44,2,False,False,0.0,0.0,0.0,0.0,PA,39
OnlyFemale,LASSO_LogisticRegression,Butyricimonas virosa,butyricimonas virosa,0.0,0.0,0.0,45,2,False,False,0.0,0.0,0.0,0.0,PA,40
OnlyFemale,LASSO_LogisticRegression,Clostridium sp. CAG:58,clostridium sp. cag:58,0.0,0.0,0.0,46,2,False,False,0.0,0.0,0.0,0.0,PA,41
OnlyFemale,LASSO_LogisticRegression,Collinsella aerofaciens,collinsella aerofaciens,0.0,0.0,0.0,47,2,False,False,0.0,0.0,0.0,0.0,PA,42
OnlyFemale,LASSO_LogisticRegression,Coprobacter fastidiosus,coprobacter fastidiosus,0.0,0.0,0.0,48,2,False,False,0.0,0.0,0.0,0.0,PA,43
OnlyFemale,LASSO_LogisticRegression,Coprococcus catus,coprococcus catus,0.0,0.0,0.0,49,2,False,False,0.0,0.0,0.0,0.0,PA,44
OnlyFemale,LASSO_LogisticRegression,Coprococcus comes,coprococcus comes,0.0,0.0,0.0,50,2,False,False,0.0,0.0,0.0,0.0,PA,45
OnlyFemale,LASSO_LogisticRegression,Coprococcus eutactus,coprococcus eutactus,0.0,0.0,0.0,51,2,False,False,0.0,0.0,0.0,0.0,PA,46
OnlyFemale,LASSO_LogisticRegression,Desulfovibrio piger,desulfovibrio piger,0.0,0.0,0.0,52,2,False,False,0.0,0.0,0.0,0.0,PA,47
OnlyFemale,LASSO_LogisticRegression,Dialister invisus,dialister invisus,0.0,0.0,0.0,53,2,False,False,0.0,0.0,0.0,0.0,PA,48
OnlyFemale,LASSO_LogisticRegression,Dorea longicatena,dorea longicatena,0.0,0.0,0.0,55,2,False,False,0.0,0.0,0.0,0.0,PA,49
OnlyFemale,LASSO_LogisticRegression,Eggerthella lenta,eggerthella lenta,0.0,0.0,0.0,56,2,False,False,0.0,0.0,0.0,0.0,PA,50
OnlyFemale,LASSO_LogisticRegression,Enterocloster bolteae,enterocloster bolteae,0.0,0.0,0.0,57,2,False,False,0.0,0.0,0.0,0.0,PA,51
OnlyFemale,LASSO_LogisticRegression,Erysipelatoclostridium ramosum,erysipelatoclostridium ramosum,0.0,0.0,0.0,58,2,False,False,0.0,0.0,0.0,0.0,PA,52
OnlyFemale,LASSO_LogisticRegression,Escherichia coli,escherichia coli,0.0,0.0,0.0,59,2,False,False,0.0,0.0,0.0,0.0,PA,53
OnlyFemale,LASSO_LogisticRegression,Eubacterium ramulus,eubacterium ramulus,0.0,0.0,0.0,60,2,False,False,0.0,0.0,0.0,0.0,PA,54
OnlyFemale,LASSO_LogisticRegression,Eubacterium sp. CAG:180,eubacterium sp. cag:180,0.0,0.0,0.0,61,2,False,False,0.0,0.0,0.0,0.0,PA,55
OnlyFemale,LASSO_LogisticRegression,Eubacterium sp. CAG:251,eubacterium sp. cag:251,0.0,0.0,0.0,62,2,False,False,0.0,0.0,0.0,0.0,PA,56
OnlyFemale,LASSO_LogisticRegression,Eubacterium sp. CAG:274,eubacterium sp. cag:274,0.0,0.0,0.0,63,2,False,False,0.0,0.0,0.0,0.0,PA,57
OnlyFemale,LASSO_LogisticRegression,Eubacterium sp. CAG:38,eubacterium sp. cag:38,0.0,0.0,0.0,64,2,False,False,0.0,0.0,0.0,0.0,PA,58
OnlyFemale,LASSO_LogisticRegression,Eubacterium ventriosum,eubacterium ventriosum,0.0,0.0,0.0,65,2,False,False,0.0,0.0,0.0,0.0,PA,59
OnlyFemale,LASSO_LogisticRegression,Faecalibacterium prausnitzii,faecalibacterium prausnitzii,0.0,0.0,0.0,66,2,False,False,0.0,0.0,0.0,0.0,PA,60
OnlyFemale,LASSO_LogisticRegression,Firmicutes bacterium CAG:110,firmicutes bacterium cag:110,0.0,0.0,0.0,67,2,False,False,0.0,0.0,0.0,0.0,PA,61
OnlyFemale,LASSO_LogisticRegression,Firmicutes bacterium CAG:145,firmicutes bacterium cag:145,0.0,0.0,0.0,68,2,False,False,0.0,0.0,0.0,0.0,PA,62
OnlyFemale,LASSO_LogisticRegression,Firmicutes bacterium CAG:83,firmicutes bacterium cag:83,0.0,0.0,0.0,69,2,False,False,0.0,0.0,0.0,0.0,PA,63
OnlyFemale,LASSO_LogisticRegression,Fusicatenibacter saccharivorans,fusicatenibacter saccharivorans,0.0,0.0,0.0,70,2,False,False,0.0,0.0,0.0,0.0,PA,64
OnlyFemale,LASSO_LogisticRegression,Gemmiger formicilis,gemmiger formicilis,0.0,0.0,0.0,71,2,False,False,0.0,0.0,0.0,0.0,PA,65
OnlyFemale,LASSO_LogisticRegression,Gordonibacter pamelaeae,gordonibacter pamelaeae,0.0,0.0,0.0,72,2,False,False,0.0,0.0,0.0,0.0,PA,66
OnlyFemale,LASSO_LogisticRegression,Holdemanella biformis,holdemanella biformis,0.0,0.0,0.0,73,2,False,False,0.0,0.0,0.0,0.0,PA,67
OnlyFemale,LASSO_LogisticRegression,Intestinibacter bartlettii,intestinibacter bartlettii,0.0,0.0,0.0,74,2,False,False,0.0,0.0,0.0,0.0,PA,68
OnlyFemale,LASSO_LogisticRegression,Klebsiella pneumoniae,klebsiella pneumoniae,0.0,0.0,0.0,75,2,False,False,0.0,0.0,0.0,0.0,PA,69
OnlyFemale,LASSO_LogisticRegression,Klebsiella quasipneumoniae,klebsiella quasipneumoniae,0.0,0.0,0.0,76,2,False,False,0.0,0.0,0.0,0.0,PA,70
OnlyFemale,LASSO_LogisticRegression,Klebsiella variicola,klebsiella variicola,0.0,0.0,0.0,77,2,False,False,0.0,0.0,0.0,0.0,PA,71
OnlyFemale,LASSO_LogisticRegression,Lachnospira eligens,lachnospira eligens,0.0,0.0,0.0,78,2,False,False,0.0,0.0,0.0,0.0,PA,72
OnlyFemale,LASSO_LogisticRegression,Lachnospira pectinoschiza,lachnospira pectinoschiza,0.0,0.0,0.0,79,2,False,False,0.0,0.0,0.0,0.0,PA,73
OnlyFemale,LASSO_LogisticRegression,Lawsonibacter asaccharolyticus,lawsonibacter asaccharolyticus,0.0,0.0,0.0,80,2,False,False,0.0,0.0,0.0,0.0,PA,74
OnlyFemale,LASSO_LogisticRegression,Megamonas funiformis,megamonas funiformis,0.0,0.0,0.0,81,2,False,False,0.0,0.0,0.0,0.0,PA,75
OnlyFemale,LASSO_LogisticRegression,Methanobrevibacter smithii,methanobrevibacter smithii,0.0,0.0,0.0,82,2,False,False,0.0,0.0,0.0,0.0,PA,76
OnlyFemale,LASSO_LogisticRegression,Odoribacter splanchnicus,odoribacter splanchnicus,0.0,0.0,0.0,83,2,False,False,0.0,0.0,0.0,0.0,PA,77
OnlyFemale,LASSO_LogisticRegression,Oscillibacter sp. 57 20,oscillibacter sp. 57 20,0.0,0.0,0.0,84,2,False,False,0.0,0.0,0.0,0.0,PA,78
OnlyFemale,LASSO_LogisticRegression,Oscillibacter sp. CAG:241,oscillibacter sp. cag:241,0.0,0.0,0.0,85,2,False,False,0.0,0.0,0.0,0.0,PA,79
OnlyFemale,LASSO_LogisticRegression,Parabacteroides distasonis,parabacteroides distasonis,0.0,0.0,0.0,86,2,False,False,0.0,0.0,0.0,0.0,PA,80
OnlyFemale,LASSO_LogisticRegression,Parabacteroides merdae,parabacteroides merdae,0.0,0.0,0.0,87,2,False,False,0.0,0.0,0.0,0.0,PA,81
OnlyFemale,LASSO_LogisticRegression,Paraprevotella xylaniphila,paraprevotella xylaniphila,0.0,0.0,0.0,88,2,False,False,0.0,0.0,0.0,0.0,PA,82
OnlyFemale,LASSO_LogisticRegression,Parasutterella excrementihominis,parasutterella excrementihominis,0.0,0.0,0.0,89,2,False,False,0.0,0.0,0.0,0.0,PA,83
OnlyFemale,LASSO_LogisticRegression,Phascolarctobacterium faecium,phascolarctobacterium faecium,0.0,0.0,0.0,90,2,False,False,0.0,0.0,0.0,0.0,PA,84
OnlyFemale,LASSO_LogisticRegression,Phascolarctobacterium succinatutens,phascolarctobacterium succinatutens,0.0,0.0,0.0,91,2,False,False,0.0,0.0,0.0,0.0,PA,85
OnlyFemale,LASSO_LogisticRegression,Phocaeicola coprocola,phocaeicola coprocola,0.0,0.0,0.0,92,2,False,False,0.0,0.0,0.0,0.0,PA,86
OnlyFemale,LASSO_LogisticRegression,Phocaeicola dorei,phocaeicola dorei,0.0,0.0,0.0,93,2,False,False,0.0,0.0,0.0,0.0,PA,87
OnlyFemale,LASSO_LogisticRegression,Phocaeicola massiliensis,phocaeicola massiliensis,0.0,0.0,0.0,94,2,False,False,0.0,0.0,0.0,0.0,PA,88
OnlyFemale,LASSO_LogisticRegression,Phocaeicola vulgatus,phocaeicola vulgatus,0.0,0.0,0.0,95,2,False,False,0.0,0.0,0.0,0.0,PA,89
OnlyFemale,LASSO_LogisticRegression,Prevotella copri,prevotella copri,0.0,0.0,0.0,96,2,False,False,0.0,0.0,0.0,0.0,PA,90
OnlyFemale,LASSO_LogisticRegression,Proteobacteria bacterium CAG:139,proteobacteria bacterium cag:139,0.0,0.0,0.0,97,2,False,False,0.0,0.0,0.0,0.0,PA,91
OnlyFemale,LASSO_LogisticRegression,Roseburia faecis,roseburia faecis,0.0,0.0,0.0,98,2,False,False,0.0,0.0,0.0,0.0,PA,92
OnlyFemale,LASSO_LogisticRegression,Roseburia hominis,roseburia hominis,0.0,0.0,0.0,99,2,False,False,0.0,0.0,0.0,0.0,PA,93
OnlyFemale,LASSO_LogisticRegression,Roseburia intestinalis,roseburia intestinalis,0.0,0.0,0.0,100,2,False,False,0.0,0.0,0.0,0.0,PA,94
OnlyFemale,LASSO_LogisticRegression,Roseburia inulinivorans,roseburia inulinivorans,0.0,0.0,0.0,101,2,False,False,0.0,0.0,0.0,0.0,PA,95
OnlyFemale,LASSO_LogisticRegression,Ruminococcus bicirculans,ruminococcus bicirculans,0.0,0.0,0.0,102,2,False,False,0.0,0.0,0.0,0.0,PA,96
OnlyFemale,LASSO_LogisticRegression,Ruminococcus bromii,ruminococcus bromii,0.0,0.0,0.0,103,2,False,False,0.0,0.0,0.0,0.0,PA,97
OnlyFemale,LASSO_LogisticRegression,Slackia isoflavoniconvertens,slackia isoflavoniconvertens,0.0,0.0,0.0,105,2,False,False,0.0,0.0,0.0,0.0,PA,98
OnlyFemale,LASSO_LogisticRegression,Streptococcus parasanguinis,streptococcus parasanguinis,0.0,0.0,0.0,106,2,False,False,0.0,0.0,0.0,0.0,PA,99
OnlyFemale,LASSO_LogisticRegression,Streptococcus salivarius,streptococcus salivarius,0.0,0.0,0.0,107,2,False,False,0.0,0.0,0.0,0.0,PA,100
OnlyFemale,LASSO_LogisticRegression,Streptococcus thermophilus,streptococcus thermophilus,0.0,0.0,0.0,108,2,False,False,0.0,0.0,0.0,0.0,PA,101
OnlyFemale,LASSO_LogisticRegression,Veillonella atypica,veillonella atypica,0.0,0.0,0.0,109,2,False,False,0.0,0.0,0.0,0.0,PA,102
OnlyFemale,LASSO_LogisticRegression,Veillonella parvula,veillonella parvula,0.0,0.0,0.0,110,2,False,False,0.0,0.0,0.0,0.0,PA,103
OnlyFemale,LASSO_LogisticRegression,[Eubacterium] rectale,[eubacterium] rectale,0.0,0.0,0.0,111,2,False,False,0.0,0.0,0.0,0.0,PA,104
OnlyFemale,LASSO_LogisticRegression,[Eubacterium] siraeum,[eubacterium] siraeum,0.0,0.0,0.0,112,2,False,False,0.0,0.0,0.0,0.0,PA,105
OnlyFemale,LASSO_LogisticRegression,[Ruminococcus] lactaris,[ruminococcus] lactaris,0.0,0.0,0.0,113,2,False,False,0.0,0.0,0.0,0.0,PA,106
OnlyFemale,LASSO_LogisticRegression,[Ruminococcus] torques,[ruminococcus] torques,0.0,0.0,0.0,114,2,False,False,0.0,0.0,0.0,0.0,PA,107
